Name,MarketCap,Watchlist
GameFi,"$33,887,496","108,717"
Qtum,"$579,682,488","140,982"
Unicly CryptoPunks Collection,"$11,017,680","2,283"
AnRKey X,"$8,069,578","12,175"
Linker Coin,"$6,835,783",558
Oddz,"$5,943,868","9,698"
HEX,"$24,251,597,427","94,261"
GENRE,"$3,218,645",136
My DeFi Pet,"$2,471,827","34,480"
LinkEye,"$1,806,842","3,195"
Crowny,"$1,808,762","7,877"
TRAVA.FINANCE,"$1,800,903","4,329"
DOS Network,"$1,023,698","9,132"
Name Change Token,"$1,024,292","2,760"
Formation Fi,"$1,395,870","8,066"
disBalancer,"$1,407,499","2,504"
Falconswap,"$1,397,277","3,929"
Rune,"$1,405,239","1,090,059"
Amon,"$1,403,360","1,585"
ROCKI,"$1,033,687","2,328"
Doki Doki Finance,"$1,043,819","1,891"
Hydra,"$72,080,992","13,997"
Coldstack,"$1,027,235","12,266"
Qcash,"$63,496,306","2,683"
CUDOS,"$62,410,318","15,079"
S.C. Corinthians Fan Token,"$1,381,874","1,396"
Ren,"$286,047,485","139,804"
OpenDAO,"$182,729,059","53,682"
Alchemy Pay,"$188,480,586","49,806"
MediBloc,"$196,391,016","16,460"
MOBOX,"$199,778,207","2,102,007"
Lisk,"$200,641,026","51,683"
Moonriver,"$201,668,663","127,468"
Boba Network,"$202,282,490","18,252"
Fetch.ai,"$201,860,218","105,208"
Gemini Dollar,"$203,796,137","7,915"
Request,"$207,621,409","44,103"
Ontology Gas,"$202,359,483","20,997"
Function X,"$203,538,324","10,998"
COTI,"$207,279,136","188,835"
MyNeighborAlice,"$210,277,677","141,571"
Chromia,"$211,245,675","107,849"
DMM: Governance,"$1,401,223","6,386"
Raydium,"$216,985,429","115,218"
XYO,"$219,562,815","60,896"
Aragon,"$188,419,149","41,426"
MXC,"$222,892,067","19,590"
Dent,"$227,030,945","201,829"
Rari Governance Token,"$229,677,871","19,633"
CEEK VR,"$232,541,706","108,016"
Swipe,"$232,872,833","145,013"
Powerledger,"$220,792,290","43,938"
Nano,"$233,105,008","147,097"
Coin98,"$237,372,111","3,790,944"
PlayDapp,"$247,530,715","20,116"
Celer Network,"$241,371,477","105,712"
Chia,"$248,165,894","81,514"
Serum,"$245,856,022","125,758"
WINkLink,"$250,670,953","196,203"
Vulcan Forged PYR,"$222,070,147","103,835"
Injective,"$253,435,082","94,645"
Persistence,"$251,926,810","17,295"
SuperFarm,"$261,264,631","96,519"
API3,"$259,624,865","50,883"
DigitalBits,"$261,785,468","13,339"
Ocean Protocol,"$266,119,739","143,988"
ConstitutionDAO,"$275,102,472","19,289"
Yield Guild Games,"$227,391,847","75,460"
Tribe,"$262,397,709","18,414"
Ethereum Name Service,"$278,077,568","58,145"
Casper,"$277,978,249","115,936"
Braintrust,"$260,553,641","15,796"
Flux,"$288,854,847","92,106"
DigiByte,"$289,078,998","166,736"
Syscoin,"$289,550,867","121,829"
Golem,"$307,924,009","36,677"
UMA,"$313,155,700","70,518"
JUST,"$315,949,054","38,229"
Nervos Network,"$326,473,435","108,992"
Telcoin,"$327,199,972","153,386"
Kyber Network Crystal v2,"$319,495,645","24,424"
Ultra,"$339,491,894","142,426"
NuCypher,"$332,387,784","62,880"
Illuvium,"$338,026,066","168,279"
Spell Token,"$344,102,506","73,527"
WOO Network,"$346,175,049","53,959"
Storj,"$344,480,271","74,191"
Immutable X,"$352,165,998","135,693"
Hive,"$325,107,264","43,822"
Polymath,"$300,964,570","51,146"
Keep Network,"$370,443,637","47,709"
Perpetual Protocol,"$372,705,033","186,350"
SKALE Network,"$384,943,559","64,940"
IOST,"$403,567,586","117,066"
Dogelon Mars,"$415,823,076","1,322,435"
Horizen,"$410,117,514","70,987"
Frax Share,"$286,403,288","18,704"
Ontology,"$416,872,838","134,956"
Siacoin,"$419,810,860","200,528"
0x,"$431,479,269","125,053"
Fei USD,"$423,811,549","7,720"
Voyager Token,"$437,796,783","74,389"
Synthetix,"$446,143,591","181,121"
ICON,"$450,410,567","125,356"
Vega Protocol,"$51,599,488","14,315"
BitMart Token,"$52,422,550","8,068"
Tranchess,"$52,476,089","16,592"
AIOZ Network,"$52,489,957","54,288"
KeeperDAO,"$52,785,697","13,816"
XeniosCoin,"$53,166,487","1,981"
Revain,"$429,750,391","95,913"
BioPassport Token,"$52,975,223","3,507"
1eco,"$53,367,854",227
Contentos,"$53,900,018","35,028"
PAX Gold,"$467,467,164","31,377"
Neutrino USD,"$467,590,584","6,003"
Audius,"$471,982,831","173,823"
Livepeer,"$468,828,185","79,598"
Zilliqa,"$472,671,456","314,731"
SushiSwap,"$400,169,252","363,607"
APENFT,"$480,772,996","201,042"
Bitcoin Gold,"$482,374,759","64,779"
Moonbeam,"$395,490,390","103,190"
GateToken,"$489,247,478","47,746"
Render Token,"$497,743,543","80,306"
Kava,"$465,042,430","96,520"
WAX,"$534,653,833","156,289"
Velas,"$533,954,406","462,730"
SwissBorg,"$505,416,771","66,234"
1inch Network,"$556,416,104","280,917"
Ravencoin,"$568,626,678","195,683"
Position Exchange,"$53,931,883","3,646,522"
BoringDAO,"$54,067,000","3,344"
Travala.com,"$54,499,424","50,010"
AllianceBlock,"$54,259,916","38,421"
Velo,"$55,214,496","9,293"
Hifi Finance,"$55,859,654","24,426"
Moss Coin,"$56,404,719","9,872"
Vai,"$55,191,623","7,383"
Syntropy,"$56,861,843","33,464"
Efinity Token,"$56,554,008","83,913"
Rally,"$542,730,322","46,461"
DerivaDAO,"$56,630,903","6,789"
Carry,"$57,334,210","8,232"
Venus BUSD,"$57,662,621","1,971"
Kava Swap,"$57,816,886","2,218"
Darma Cash,"$58,112,598","2,423"
Splintershards,"$57,889,883","36,780"
Streamr,"$57,791,625","31,274"
DAD,"$58,132,406","2,985"
OMG Network,"$524,694,224","150,682"
HyperDAO,"$58,374,270","6,488"
Ankr,"$493,635,850","199,894"
BitShares,"$59,586,964","37,326"
Hyperion,"$59,138,115","3,894"
Aergo,"$59,828,863","20,386"
TrustSwap,"$59,839,393","40,124"
Alpha Quark Token,"$60,289,473","2,682"
